asin,captcha,title,brand,manufacturer,description,images,price,stars,ratings_quantity,time,is_empty,id,category,method,is_valid
B000TG63EW,False,True,False,False,True,True,True,True,True,4.114648818969727,False,154,beauty_and_personal_care,SELENIUM_BARE,False
B00365DABC,False,True,True,False,True,True,True,True,True,3.8051998615264893,False,155,beauty_and_personal_care,SELENIUM_BARE,False
B004WRCXRA,False,True,True,False,True,True,False,True,True,3.0609028339385986,False,156,beauty_and_personal_care,SELENIUM_BARE,False
B002RS6JSA,False,True,False,False,True,True,True,True,True,4.011661052703857,False,157,beauty_and_personal_care,SELENIUM_BARE,False
B0B9YDQTXN,False,True,True,False,True,True,True,True,True,3.0939760208129883,False,158,beauty_and_personal_care,SELENIUM_BARE,False
B014E2D6BY,False,True,True,False,True,True,True,True,True,4.388826131820679,False,159,beauty_and_personal_care,SELENIUM_BARE,False
B0914XZT2W,False,True,False,False,True,True,False,True,True,3.1351280212402344,False,160,beauty_and_personal_care,SELENIUM_BARE,False
B07L1PHSY9,False,True,True,False,True,True,False,True,True,3.3405659198760986,False,161,beauty_and_personal_care,SELENIUM_BARE,False
B01N34XW93,False,True,True,False,False,True,False,True,True,3.068132162094116,False,162,beauty_and_personal_care,SELENIUM_BARE,False
B0BN2PX8V3,False,True,False,False,True,True,True,True,True,3.382639169692993,False,163,beauty_and_personal_care,SELENIUM_BARE,False
B01N1LL62W,False,True,True,False,True,True,True,True,True,4.106560945510864,False,164,beauty_and_personal_care,SELENIUM_BARE,False
B0BC29LL92,False,True,True,False,True,True,True,True,True,3.8195688724517822,False,165,beauty_and_personal_care,SELENIUM_BARE,False
B00D13DGFY,False,True,False,False,True,True,False,True,True,3.5165932178497314,False,166,beauty_and_personal_care,SELENIUM_BARE,False
B07DY2QRF6,False,True,True,False,False,True,True,True,True,3.9934170246124268,False,167,beauty_and_personal_care,SELENIUM_BARE,False
B00SK71SAG,False,True,True,False,True,True,True,True,True,3.6376922130584717,False,168,beauty_and_personal_care,SELENIUM_BARE,False
B085S8DGWT,False,True,True,False,True,True,False,True,True,3.1422719955444336,False,169,beauty_and_personal_care,SELENIUM_BARE,False
B01648QPVE,False,True,True,False,True,True,False,True,True,3.3030519485473633,False,170,beauty_and_personal_care,SELENIUM_BARE,False
B0BNLWJ6QJ,False,True,False,False,True,True,True,True,True,4.438045263290405,False,171,beauty_and_personal_care,SELENIUM_BARE,False
B0BBSPM876,False,True,True,False,True,True,True,True,True,3.8424861431121826,False,172,beauty_and_personal_care,SELENIUM_BARE,False
B07SFL7FXJ,False,True,False,False,True,True,True,True,True,3.7601869106292725,False,173,beauty_and_personal_care,SELENIUM_BARE,False
B00F97FHAW,False,True,True,False,True,True,True,True,True,4.1286399364471436,False,174,beauty_and_personal_care,SELENIUM_BARE,False
B004BD107O,False,True,True,False,True,True,True,True,True,3.808637857437134,False,175,beauty_and_personal_care,SELENIUM_BARE,False
B0B6CMT476,False,True,True,False,True,True,False,True,True,3.102199077606201,False,176,beauty_and_personal_care,SELENIUM_BARE,False
B005G9E9AW,False,True,True,False,True,True,True,True,True,4.707099199295044,False,177,beauty_and_personal_care,SELENIUM_BARE,False
B07GRD5WLD,False,True,True,False,True,True,True,True,True,3.326669931411743,False,178,beauty_and_personal_care,SELENIUM_BARE,False
B074Y8LM6T,False,True,True,False,True,True,True,True,True,3.8143670558929443,False,179,beauty_and_personal_care,SELENIUM_BARE,False
B08CQ9T6KN,False,True,True,False,True,True,True,True,True,3.969712972640991,False,180,beauty_and_personal_care,SELENIUM_BARE,False
B01M4MCUAF,False,True,False,False,True,True,False,True,True,3.6643879413604736,False,181,beauty_and_personal_care,SELENIUM_BARE,False
B08V3JGB1F,False,True,False,False,True,True,True,True,True,4.339800119400024,False,182,beauty_and_personal_care,SELENIUM_BARE,False
B004INIW1Y,False,True,True,False,True,True,False,True,True,3.387065887451172,False,183,beauty_and_personal_care,SELENIUM_BARE,False
B07VRFC3Y7,False,True,True,False,True,True,True,True,True,3.5838911533355713,False,184,beauty_and_personal_care,SELENIUM_BARE,False
B097CNMZF5,False,True,True,False,True,True,True,True,True,3.5342719554901123,False,185,beauty_and_personal_care,SELENIUM_BARE,False
B017PCGABI,False,True,True,False,True,True,True,True,True,4.44110894203186,False,186,beauty_and_personal_care,SELENIUM_BARE,False
B08BW46XXK,False,True,True,False,True,True,True,True,True,4.576929807662964,False,187,beauty_and_personal_care,SELENIUM_BARE,False
B01N7T7JKJ,False,True,True,False,False,True,False,True,True,3.253908157348633,False,188,beauty_and_personal_care,SELENIUM_BARE,False
B01LW1983J,False,True,True,False,True,True,True,True,True,3.6886887550354004,False,189,beauty_and_personal_care,SELENIUM_BARE,False
B002MSN3QQ,False,True,False,False,False,True,True,True,True,4.074312925338745,False,190,beauty_and_personal_care,SELENIUM_BARE,False
B08N1CWL7S,False,True,True,False,True,True,True,True,True,3.4613189697265625,False,191,beauty_and_personal_care,SELENIUM_BARE,False
B073CWSQ51,False,True,False,False,False,True,True,True,True,3.8530220985412598,False,192,beauty_and_personal_care,SELENIUM_BARE,False
B07X6HCLK2,False,True,True,False,True,True,False,True,True,3.1316518783569336,False,193,beauty_and_personal_care,SELENIUM_BARE,False
B01I2ZQJSG,False,True,True,False,True,True,True,True,True,4.274522304534912,False,194,beauty_and_personal_care,SELENIUM_BARE,False
B075JRT85B,False,True,True,False,True,True,True,True,True,3.8575198650360107,False,195,beauty_and_personal_care,SELENIUM_BARE,False
B006IB5T4W,False,True,True,False,True,True,False,True,True,3.497878074645996,False,196,beauty_and_personal_care,SELENIUM_BARE,False
B00IGJ1XOO,False,True,True,False,True,True,True,True,True,3.9915640354156494,False,197,beauty_and_personal_care,SELENIUM_BARE,False
B0CLX1HQ17,False,True,True,False,True,True,True,True,True,3.8936080932617188,False,198,beauty_and_personal_care,SELENIUM_BARE,False
B09LCMQM44,False,True,False,False,True,True,True,True,True,3.778848886489868,False,199,beauty_and_personal_care,SELENIUM_BARE,False
B0BVV8BNYJ,False,True,True,False,True,True,True,True,True,3.3523237705230713,False,200,beauty_and_personal_care,SELENIUM_BARE,False
B00JUM2VAQ,False,True,False,False,False,True,False,True,True,6.6747071743011475,False,201,clothing_shoes_jewelry,SELENIUM_BARE,False
B07M989JLF,False,True,False,False,False,True,False,True,True,3.1205990314483643,False,202,clothing_shoes_jewelry,SELENIUM_BARE,False
B01L8JJ57U,False,True,False,False,False,True,False,True,True,3.3129971027374268,False,203,clothing_shoes_jewelry,SELENIUM_BARE,False
B08YHLVJN3,False,True,False,False,False,True,False,True,True,2.986668586730957,False,204,clothing_shoes_jewelry,SELENIUM_BARE,False
B0C26RWFYK,False,True,False,False,False,True,False,True,True,3.0280520915985107,False,205,clothing_shoes_jewelry,SELENIUM_BARE,False
B0C65WCS8R,False,True,False,False,False,True,False,True,True,3.0079500675201416,False,206,clothing_shoes_jewelry,SELENIUM_BARE,False
B0CR5SLZ2D,False,True,False,False,False,True,False,True,True,2.6307220458984375,False,207,clothing_shoes_jewelry,SELENIUM_BARE,False
B08YS526MS,False,True,False,False,False,True,False,True,True,2.8537938594818115,False,208,clothing_shoes_jewelry,SELENIUM_BARE,False
B0145JTWFU,False,True,False,False,False,True,False,True,True,2.579132080078125,False,209,clothing_shoes_jewelry,SELENIUM_BARE,False
B0014C0LUC,False,True,False,False,False,True,False,True,True,3.4929749965667725,False,210,clothing_shoes_jewelry,SELENIUM_BARE,False
B07HQM6NH8,False,True,False,False,False,True,False,True,True,2.788810968399048,False,211,clothing_shoes_jewelry,SELENIUM_BARE,False
B0761ZJGDK,False,True,False,False,False,True,False,True,True,2.8359949588775635,False,212,clothing_shoes_jewelry,SELENIUM_BARE,False
B08YGTLS7P,False,True,False,False,False,True,False,True,True,2.5907227993011475,False,213,clothing_shoes_jewelry,SELENIUM_BARE,False
B07NV4JGTG,False,True,False,False,False,True,True,True,True,3.379607915878296,False,214,clothing_shoes_jewelry,SELENIUM_BARE,False
B00W66LQFO,False,True,False,False,False,True,False,True,True,2.92132306098938,False,215,clothing_shoes_jewelry,SELENIUM_BARE,False
B086KSDTQ4,False,True,False,False,False,True,False,True,True,2.5966336727142334,False,216,clothing_shoes_jewelry,SELENIUM_BARE,False
B0CM8MM85L,False,True,False,False,False,True,False,True,False,2.8769469261169434,False,217,clothing_shoes_jewelry,SELENIUM_BARE,False
