title,brand,manufacturer,description,images,price,time,asin,stars,ratings_quantity,is_empty,id,category,method,is_valid
True,True,True,True,True,True,19.17804527282715,B07VRFC3Y7,True,True,False,184,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,14.677270889282227,B097CNMZF5,True,True,False,185,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.284519910812378,B017PCGABI,True,True,False,186,beauty_and_personal_care,RAINFOREST,False
True,True,False,True,True,True,12.583189010620117,B08BW46XXK,True,True,False,187,beauty_and_personal_care,RAINFOREST,False
True,True,True,False,True,True,8.924749851226807,B01N7T7JKJ,True,True,False,188,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.388378143310547,B01LW1983J,True,True,False,189,beauty_and_personal_care,RAINFOREST,False
True,True,True,False,True,True,15.924504041671753,B002MSN3QQ,True,True,False,190,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.45117473602295,B08N1CWL7S,True,True,False,191,beauty_and_personal_care,RAINFOREST,False
True,True,True,False,True,True,18.669838190078735,B073CWSQ51,True,True,False,192,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,19.500972986221313,B07X6HCLK2,True,True,False,193,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.68493103981018,B01I2ZQJSG,True,True,False,194,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.751826047897339,B075JRT85B,True,True,False,195,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.317317247390747,B006IB5T4W,True,True,False,196,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.267119884490967,B00IGJ1XOO,True,True,False,197,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,7.768898010253906,B0CLX1HQ17,True,True,False,198,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.003734111785889,B09LCMQM44,True,True,False,199,beauty_and_personal_care,RAINFOREST,False
True,True,False,True,True,True,9.405071020126343,B0BVV8BNYJ,True,True,False,200,beauty_and_personal_care,RAINFOREST,False
True,True,False,True,True,True,9.34217095375061,B00JUM2VAQ,True,True,False,201,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,36.95121788978577,B07M989JLF,True,True,False,202,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,11.269082307815552,B01L8JJ57U,True,True,False,203,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,6.727941274642944,B08YHLVJN3,True,True,False,204,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,8.76106595993042,B0C26RWFYK,True,True,False,205,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,8.15092396736145,B0C65WCS8R,True,True,False,206,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,10.837877035140991,B0CR5SLZ2D,True,True,False,207,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,7.275975227355957,B08YS526MS,True,True,False,208,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,6.6602537631988525,B0145JTWFU,True,True,False,209,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,8.078947067260742,B0014C0LUC,True,True,False,210,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,8.589018106460571,B07HQM6NH8,True,True,False,211,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,8.497474908828735,B0761ZJGDK,True,True,False,212,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,7.652144908905029,B08YGTLS7P,True,True,False,213,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,7.6053900718688965,B07NV4JGTG,True,True,False,214,clothing_shoes_jewelry,RAINFOREST,False
True,True,False,True,True,True,9.580816984176636,B00W66LQFO,True,True,False,215,clothing_shoes_jewelry,RAINFOREST,False
True,True,True,True,True,True,13.987674951553345,B086KSDTQ4,True,True,False,216,clothing_shoes_jewelry,RAINFOREST,False
