asin,title,brand,manufacturer,description,images,price,time,is_empty,id,category,method,is_valid
B002RS6JSA,True,True,True,True,True,True,0.5297369956970215,False,157,beauty_and_personal_care,SPAPI,False
B0B9YDQTXN,True,True,True,True,True,True,0.5358021259307861,False,158,beauty_and_personal_care,SPAPI,False
B014E2D6BY,True,True,True,True,True,True,0.5220201015472412,False,159,beauty_and_personal_care,SPAPI,False
B0914XZT2W,True,True,True,True,True,True,0.5475659370422363,False,160,beauty_and_personal_care,SPAPI,False
B07L1PHSY9,True,True,True,True,True,True,0.5154788494110107,False,161,beauty_and_personal_care,SPAPI,False
B01N34XW93,True,True,True,True,True,True,0.5171718597412109,False,162,beauty_and_personal_care,SPAPI,False
B0BN2PX8V3,True,True,True,True,True,True,0.5138111114501953,False,163,beauty_and_personal_care,SPAPI,False
B01N1LL62W,False,False,False,False,False,False,0.4903290271759033,True,164,beauty_and_personal_care,SPAPI,False
B0BC29LL92,True,True,True,True,True,True,0.5055289268493652,False,165,beauty_and_personal_care,SPAPI,False
B00D13DGFY,True,True,True,True,True,True,0.5188488960266113,False,166,beauty_and_personal_care,SPAPI,False
B07DY2QRF6,True,True,True,True,True,True,0.5152668952941895,False,167,beauty_and_personal_care,SPAPI,False
B00SK71SAG,True,True,True,True,True,True,0.5100982189178467,False,168,beauty_and_personal_care,SPAPI,False
B085S8DGWT,True,True,True,True,True,True,0.5119109153747559,False,169,beauty_and_personal_care,SPAPI,False
B01648QPVE,True,True,True,True,True,True,0.5227153301239014,False,170,beauty_and_personal_care,SPAPI,False
B0BNLWJ6QJ,True,True,True,True,True,True,0.5145289897918701,False,171,beauty_and_personal_care,SPAPI,False
B0BBSPM876,True,True,True,True,True,True,0.5167737007141113,False,172,beauty_and_personal_care,SPAPI,False
B07SFL7FXJ,True,True,True,True,True,True,0.5130631923675537,False,173,beauty_and_personal_care,SPAPI,False
B00F97FHAW,True,True,True,True,True,True,0.5196750164031982,False,174,beauty_and_personal_care,SPAPI,False
B004BD107O,True,True,True,True,True,True,0.5245580673217773,False,175,beauty_and_personal_care,SPAPI,False
B0B6CMT476,True,True,True,True,True,True,0.5128598213195801,False,176,beauty_and_personal_care,SPAPI,False
B005G9E9AW,True,True,True,True,True,True,0.5209288597106934,False,177,beauty_and_personal_care,SPAPI,False
B07GRD5WLD,True,True,False,True,True,True,0.5148022174835205,False,178,beauty_and_personal_care,SPAPI,False
B074Y8LM6T,True,True,True,True,True,True,0.5185761451721191,False,179,beauty_and_personal_care,SPAPI,False
B08CQ9T6KN,True,True,True,True,True,True,0.5158908367156982,False,180,beauty_and_personal_care,SPAPI,False
B01M4MCUAF,True,True,True,True,True,True,0.5145959854125977,False,181,beauty_and_personal_care,SPAPI,False
B08V3JGB1F,True,True,True,True,True,True,0.5228748321533203,False,182,beauty_and_personal_care,SPAPI,False
B004INIW1Y,True,True,True,True,True,True,0.5195598602294922,False,183,beauty_and_personal_care,SPAPI,False
B07VRFC3Y7,True,True,True,True,True,True,0.5289678573608398,False,184,beauty_and_personal_care,SPAPI,False
B097CNMZF5,True,True,True,True,True,True,0.5132718086242676,False,185,beauty_and_personal_care,SPAPI,False
B017PCGABI,True,True,True,True,True,True,0.5190792083740234,False,186,beauty_and_personal_care,SPAPI,False
B08BW46XXK,True,True,True,True,True,True,0.5097081661224365,False,187,beauty_and_personal_care,SPAPI,False
B01N7T7JKJ,True,True,True,True,True,True,0.512052059173584,False,188,beauty_and_personal_care,SPAPI,False
B01LW1983J,True,True,True,True,True,True,0.5261192321777344,False,189,beauty_and_personal_care,SPAPI,False
B002MSN3QQ,True,True,True,True,True,True,0.5244052410125732,False,190,beauty_and_personal_care,SPAPI,False
B08N1CWL7S,True,True,True,True,True,True,0.5137522220611572,False,191,beauty_and_personal_care,SPAPI,False
B073CWSQ51,True,True,True,True,True,True,0.5187270641326904,False,192,beauty_and_personal_care,SPAPI,False
B07X6HCLK2,True,True,True,True,True,True,0.5288388729095459,False,193,beauty_and_personal_care,SPAPI,False
B01I2ZQJSG,True,True,True,True,True,True,0.5143580436706543,False,194,beauty_and_personal_care,SPAPI,False
B075JRT85B,True,True,True,True,True,True,0.5199041366577148,False,195,beauty_and_personal_care,SPAPI,False
B006IB5T4W,True,True,True,True,True,True,0.5108158588409424,False,196,beauty_and_personal_care,SPAPI,False
B00IGJ1XOO,True,True,True,True,True,True,0.5224008560180664,False,197,beauty_and_personal_care,SPAPI,False
B0CLX1HQ17,True,True,True,True,True,True,0.5210380554199219,False,198,beauty_and_personal_care,SPAPI,False
B09LCMQM44,True,True,True,True,True,True,0.5137908458709717,False,199,beauty_and_personal_care,SPAPI,False
B0BVV8BNYJ,True,True,False,True,True,True,0.5186100006103516,False,200,beauty_and_personal_care,SPAPI,False
B00JUM2VAQ,True,True,True,True,True,True,0.516016960144043,False,201,clothing_shoes_jewelry,SPAPI,False
B07M989JLF,True,True,True,True,True,True,0.5424351692199707,False,202,clothing_shoes_jewelry,SPAPI,False
B01L8JJ57U,True,True,True,True,True,True,0.5162200927734375,False,203,clothing_shoes_jewelry,SPAPI,False
B08YHLVJN3,True,True,True,True,True,True,0.5178039073944092,False,204,clothing_shoes_jewelry,SPAPI,False
B0C26RWFYK,True,True,True,True,True,True,0.5150229930877686,False,205,clothing_shoes_jewelry,SPAPI,False
B0C65WCS8R,True,True,False,True,True,True,0.5115172863006592,False,206,clothing_shoes_jewelry,SPAPI,False
B0CR5SLZ2D,True,True,True,True,True,True,0.5195651054382324,False,207,clothing_shoes_jewelry,SPAPI,False
B08YS526MS,True,True,True,True,True,True,0.5213680267333984,False,208,clothing_shoes_jewelry,SPAPI,False
B0145JTWFU,True,True,False,True,True,True,0.5275490283966064,False,209,clothing_shoes_jewelry,SPAPI,False
B0014C0LUC,True,True,True,True,True,True,0.5245988368988037,False,210,clothing_shoes_jewelry,SPAPI,False
B07HQM6NH8,True,True,True,True,True,True,0.5178749561309814,False,211,clothing_shoes_jewelry,SPAPI,False
B0761ZJGDK,True,True,True,True,True,True,0.515753984451294,False,212,clothing_shoes_jewelry,SPAPI,False
B08YGTLS7P,True,True,True,True,True,True,0.5136270523071289,False,213,clothing_shoes_jewelry,SPAPI,False
B07NV4JGTG,True,True,False,True,True,True,0.5178501605987549,False,214,clothing_shoes_jewelry,SPAPI,False
B00W66LQFO,True,True,True,True,True,True,0.521038293838501,False,215,clothing_shoes_jewelry,SPAPI,False
B086KSDTQ4,True,True,True,True,True,True,0.529792070388794,False,216,clothing_shoes_jewelry,SPAPI,False
B0CM8MM85L,True,True,False,True,True,True,0.5375981330871582,False,217,clothing_shoes_jewelry,SPAPI,False
B0BCPJ9BQF,True,True,False,True,True,True,0.5153391361236572,False,218,clothing_shoes_jewelry,SPAPI,False
B00JUM4CT4,False,False,False,False,False,False,0.48969101905822754,True,219,clothing_shoes_jewelry,SPAPI,False
B09P1GB319,True,True,True,True,True,True,0.5262789726257324,False,220,clothing_shoes_jewelry,SPAPI,False
B09JFV7HHY,True,True,False,True,True,True,0.5261650085449219,False,221,clothing_shoes_jewelry,SPAPI,False
B076CBMZGK,True,True,True,True,True,True,0.5105628967285156,False,222,clothing_shoes_jewelry,SPAPI,False
B004QF0TFQ,True,True,True,True,True,True,0.5285980701446533,False,223,clothing_shoes_jewelry,SPAPI,False
B0D4F6MNQW,True,True,True,True,True,True,0.5195720195770264,False,224,clothing_shoes_jewelry,SPAPI,False
B000C4UATA,True,True,True,True,True,True,0.5260200500488281,False,225,clothing_shoes_jewelry,SPAPI,False
B08YHBW4J5,True,True,True,True,True,True,0.534527063369751,False,226,clothing_shoes_jewelry,SPAPI,False
B07JCS8NRC,True,True,True,True,True,True,0.512768030166626,False,227,clothing_shoes_jewelry,SPAPI,False
B0C3QS2K65,True,True,False,True,True,True,0.5082297325134277,False,228,clothing_shoes_jewelry,SPAPI,False
