asin,title,brand,manufacturer,description,images,price,stars,ratings_quantity,time,is_empty,id,category,method,is_valid
B01M7WZFAS,False,False,False,False,False,False,False,False,7.462438106536865,True,81,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01NB05WI5,True,False,False,True,True,True,True,True,4.230193853378296,False,82,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0C9ZQ434J,True,False,False,True,True,True,True,True,7.611279249191284,False,83,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0CRQHVP6Q,True,False,False,True,True,True,True,True,2.924691915512085,False,84,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00IE76Q7M,False,False,False,False,False,False,False,False,7.131326198577881,True,85,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07ZSWRKZY,True,False,False,True,True,True,True,True,4.86686110496521,False,86,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0BN3Y8D9H,False,False,False,False,False,False,False,False,7.08647894859314,True,87,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09WXZWSN3,True,False,False,True,True,True,True,True,6.7881999015808105,False,88,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0CQVWW5QK,False,False,False,False,False,False,False,False,7.210732936859131,True,89,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09CYLZPYP,True,False,False,True,True,True,True,True,9.630999088287354,False,90,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00126IUZI,True,False,False,True,True,True,True,True,4.98785924911499,False,91,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B097CZCDQG,False,False,False,False,False,False,False,False,7.153150796890259,True,92,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0CQ8RSTC9,False,False,False,False,False,False,False,False,7.247720003128052,True,93,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0C294ZLTR,True,False,False,True,True,True,True,True,4.322649240493774,False,94,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0764HS4SL,False,False,False,False,False,False,False,False,7.198405981063843,True,95,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00030L5HY,False,False,False,False,False,False,False,False,7.151965379714966,True,96,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B087JJ3M15,False,False,False,False,False,False,False,False,7.0976927280426025,True,97,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0CJF94M8J,True,False,False,True,True,True,True,True,7.645936727523804,False,98,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0BJL5MYG8,True,False,False,True,True,True,True,True,7.4643096923828125,False,99,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09TT9TFSN,False,False,False,False,False,False,False,False,7.094296932220459,True,100,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B074PVTPBW,True,False,False,True,True,False,True,True,5.310898065567017,False,101,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07PBXXNCY,True,False,False,True,True,True,True,True,8.135454893112183,False,102,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B081KL2QYJ,True,False,False,True,True,False,True,True,2.2546980381011963,False,103,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08KT2Z93D,False,False,False,False,False,False,False,False,7.323420286178589,True,104,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00U2VQZDS,True,False,False,True,True,True,True,True,7.682626962661743,False,105,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00T0C9XRK,True,False,False,True,True,True,True,True,7.5315351486206055,False,106,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0B2RM68G2,True,False,False,True,True,True,True,True,5.96933913230896,False,107,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09541P9WH,True,False,False,True,True,True,True,True,7.926700115203857,False,108,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00AINMFAC,True,False,False,True,True,False,True,True,5.263366222381592,False,109,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01AXQP6AE,True,False,False,True,True,True,True,True,3.516165256500244,False,110,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0B9HMX9VC,False,False,False,False,False,False,False,False,7.041475057601929,True,111,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01N9SPQHQ,False,False,False,False,False,False,False,False,7.055515766143799,True,112,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0CDH47BN9,True,False,False,True,True,True,True,True,4.1097002029418945,False,113,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00MEDOY2G,True,False,False,True,True,True,True,True,3.2747457027435303,False,114,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07N7PK9QK,False,False,False,False,False,False,False,False,7.121768236160278,True,115,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09VFKGL92,True,False,False,True,True,True,True,True,9.178676128387451,False,116,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00TTD9BRC,True,False,False,True,True,True,True,True,2.970324993133545,False,117,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09542G9ZN,False,False,False,False,False,False,False,False,7.086511135101318,True,118,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08H3JPH74,True,False,False,True,True,True,True,True,4.426080942153931,False,119,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0BT1WL6KY,True,False,False,True,True,True,True,True,3.879401922225952,False,120,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0787GLBMV,True,False,False,True,True,True,True,True,7.691501140594482,False,121,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00PBX3L7K,True,False,False,True,True,False,True,True,3.1542959213256836,False,122,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00949CTQQ,True,False,False,False,True,True,True,True,2.862990140914917,False,123,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0BX2TZZWG,False,False,False,False,False,False,False,False,7.13295316696167,True,124,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B010GNWPMQ,True,False,False,True,True,True,True,True,5.8147499561309814,False,125,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07BMYD4NX,False,False,False,False,False,False,False,False,7.0900328159332275,True,126,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09MFMCTRK,True,False,False,True,True,True,True,True,8.019752979278564,False,127,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07QZ5CTTF,True,False,False,True,True,False,True,True,7.42035698890686,False,128,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07RK4HST7,True,False,False,True,True,True,True,True,6.9041643142700195,False,129,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00SNPCSUY,False,False,False,False,False,False,False,False,7.0395402908325195,True,130,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01MSSDEPK,True,False,False,True,True,True,True,True,9.731221914291382,False,131,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08H4FSGDX,True,False,False,True,True,False,True,True,5.161545991897583,False,132,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09SP2XHKT,True,False,False,True,True,True,True,True,5.349114894866943,False,133,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01BMMOAFU,True,False,False,True,True,True,True,True,8.828024864196777,False,134,beauty_and_personal_care,STATIC_ROTATE_USER_AGENT_RETRIES,False
